Row Labels,Sum of Global_Sales
10TACLE Studios,0.11
1C Company,0.1
20th Century Fox Video Games,1.94
2D Boy,0.04
3DO,10.12
49Games,0.04
505 Games,55.91
5pb,1.63
7G//AMES,0.08
989 Sports,0.38
989 Studios,13.32
Abylight,0.08
Acclaim Entertainment,64.14
Accolade,1.68
Ackkstudios,0.84
Acquire,1.07
Activision,727.46
Activision Blizzard,0.48
Activision Value,6.96
Adeline Software,0.17
Aerosoft,0.03
Agatsuma Entertainment,0.31
Agetec,1.94
Aksys Games,0.44
Alawar Entertainment,0.05
Alchemist,2.63
Alternative Software,0.2
Altron,0.07
Alvion,0.04
American Softworks,0.23
Angel Studios,0.44
Answer Software,0.5
AQ Interactive,0.53
Aqua Plus,1.25
Aques,0.16
Arc System Works,1.48
Arena Entertainment,4.72
Aria,0.07
Arika,0.09
ArtDink,0.73
Aruze Corp,1.18
ASC Games,2.02
Ascaron Entertainment,0.01
Ascaron Entertainment GmbH,0.11
ASCII Entertainment,10.89
ASCII Media Works,0.27
Asgard,0.25
ASK,0.03
Asmik Ace Entertainment,0.23
Asmik Corp,0.17
Aspyr,0.62
Astragon,0.64
Asylum Entertainment,0.59
Atari,157.22
Athena,0.09
Atlus,12.74
Avalon Interactive,0.48
Avanquest,3
Avanquest Software,1.69
Axela,0.25
BAM! Entertainment,4.95
Banpresto,17.4
Benesse,0.33
Berkeley,0.03
Bethesda Softworks,82.14
Big Ben Interactive,1
Big Fish Games,0.05
Bigben Interactive,0.84
bitComposer Games,0.41
Black Bean Games,3.29
Black Label Games,1.2
Blast! Entertainment Ltd,0.38
Blue Byte,0.03
BMG Interactive Entertainment,1.18
Bohemia Interactive,0.12
Bomb,0.22
Boost On,0.01
BPS,0.52
Brash Entertainment,1.23
Broccoli,0.96
BushiRoad,0.03
Capcom,200.89
Cave,0.33
CBS Electronics,0.31
CCP,0.22
CDV Software Entertainment,0.2
ChunSoft,4.07
City Interactive,4.61
Cloud Imperium Games Corporation,0.08
Coconuts Japan,0.07
Codemasters,47.87
Codemasters Online,0.02
CokeM Interactive,0.31
Coleco,3.06
Comfort,0.15
Commseed,0.01
Compile,2.46
Compile Heart,1.37
Conspiracy Entertainment,0.84
Core Design Ltd.,0.29
CPG Products,0.54
Crave Entertainment,9.93
Creative Core,0.1
Crimson Cow,0.08
Crystal Dynamics,1.71
CTO SpA,0.9
Culture Brain,0.27
Culture Publishers,0.09
CyberFront,0.27
Cygames,0.03
D3Publisher,24.13
Daedalic,0.28
Daedalic Entertainment,0.14
Daito,0.23
Data Age,0.71
Data Design Interactive,0.29
Data East,0.15
Datam Polystar,0.03
Deep Silver,25.67
"Destination Software, Inc",0.88
Destineer,4.36
Detn8 Games,0.23
Devolver Digital,0.04
DHM Interactive,0.18
DigiCube,0.06
Disney Interactive Studios,119.96
Dorart,0.03
dramatic create,0.11
DreamCatcher Interactive,0.95
DreamWorks Interactive,0.13
DSI Games,0.35
DTP Entertainment,3.59
Dusenberry Martin Racing,0.05
EA Games,0.15
Easy Interactive,0.05
Ecole,0.06
Edia,0.09
Eidos Interactive,98.98
Electronic Arts,1110.32
Electronic Arts Victor,0.42
Elf,0.64
Elite,0.07
Empire Interactive,11.29
Encore,0.07
Enix Corporation,33.74
Enjoy Gaming ltd.,0.1
Enterbrain,2.23
EON Digital Entertainment,0.01
Epic Games,0.01
Epoch,1.05
Ertain,0.05
ESP,0.59
Essential Games,0.23
Evolution Games,0.07
Evolved Games,0.32
Excalibur Publishing,0.28
Experience Inc.,0.06
Extreme Entertainment Group,0.03
Falcom Corporation,1.21
Fields,0.03
Flashpoint Games,0.08
Flight-Plan,0.12
Focus Home Interactive,7.51
Focus Multimedia,0.05
fonfun,0.02
Foreign Media Games,0.63
Fortyfive,0.06
Fox Interactive,7.39
From Software,1.63
Fuji,0.03
Funbox Media,0.91
Funcom,0.2
FunSoft,0.12
Funsta,0.2
FuRyu,1.32
FuRyu Corporation,0.03
G.Rev,0.04
Gaga,0.02
Gainax Network Systems,0.16
Gakken,0.04
Game Arts,0.14
Game Factory,3.79
Game Life,0.3
Gamebridge,0.73
Gamecock,0.2
Gameloft,0.11
GameMill Entertainment,1.38
GameTek,0.1
Gathering of Developers,1.19
General Entertainment,0.14
Genki,1.46
Genterprise,0.01
Ghostlight,2.79
Giga,0.02
Giza10,0.02
Glams,0.08
Global A Entertainment,0.15
Global Star,7.65
GN Software,0.05
GOA,0.02
Gotham Games,3.72
Graffiti,0.38
Grand Prix Games,0.06
Graphsim Entertainment,0.02
Gremlin Interactive Ltd,1.1
Griffin International,0.09
Groove Games,0.09
GSP,3.69
GT Interactive,25.23
GungHo,3.15
Gust,1.1
Hackberry,0.31
HAL Laboratory,0.06
Hamster Corporation,0.3
Happinet,0.18
Harmonix Music Systems,0.8
Hasbro Interactive,15.22
Havas Interactive,0.13
Headup Games,0.03
Hearty Robin,0.09
Hect,0.5
Hello Games,1.6
Her Interactive,0.03
Hip Interactive,0.36
HMH Interactive,0.14
Home Entertainment Suppliers,0.71
Hudson Entertainment,1.69
Hudson Soft,23.01
Human Entertainment,3
HuneX,0.03
Iceberg Interactive,0.08
id Software,0.03
Idea Factory,4.02
Idea Factory International,0.61
IE Institute,0.96
Ignition Entertainment,6.82
Illusion Softworks,0.7
Imadio,0.14
Image Epoch,0.1
imageepoch Inc.,0.04
Imageworks,0.02
Imagic,4.82
Imagineer,2.65
Imax,0.06
Indie Games,0.32
Infogrames,16.34
Insomniac Games,0.12
Interchannel,0.1
Interchannel-Holon,0.01
Intergrow,0.03
Interplay,6.66
Interplay Productions,0.1
"Interworks Unlimited, Inc.",0.01
Inti Creates,0.01
Introversion Software,0.02
inXile Entertainment,0.1
Irem Software Engineering,0.46
ITT Family Games,0.34
Ivolgamus,0.04
iWin,0.06
Jack of All Games,0.42
Jaleco,1.94
Jester Interactive,1.15
Jorudan,0.95
JoWood Productions,1.49
Just Flight,0.03
JVC,2.8
Kadokawa Games,0.58
Kadokawa Shoten,3.77
Kaga Create,0.14
Kalypso Media,2.45
Kamui,0.03
Kando Games,0.03
Karin Entertainment,0.02
Kemco,2.22
KID,0.08
Kids Station,0.03
King Records,0.02
Knowledge Adventure,1.47
Koch Media,4.71
Kokopeli Digital Studios,0.03
Konami Digital Entertainment,283.64
Kool Kizz,0.04
KSS,0.03
Laguna,1.55
Legacy Interactive,0.04
LEGO Media,1.56
Level 5,12.17
Lexicon Entertainment,0.05
Licensed 4U,0.07
Lighthouse Interactive,0.02
Liquid Games,0.27
Little Orbit,2.04
Locus,0.07
LSP Games,0.12
LucasArts,87.34
Mad Catz,0.3
Magical Company,0.41
Magix,0.35
Majesco Entertainment,16.08
Mamba Games,0.05
Marvel Entertainment,0.05
Marvelous Entertainment,2.33
Marvelous Games,0.02
Marvelous Interactive,4.17
Masque Publishing,0.02
Mastertronic,1.73
Mastiff,2.23
Mattel Interactive,3.51
Max Five,0.05
Maximum Family Games,0.03
Maxis,3.39
MC2 Entertainment,0.08
Media Entertainment,0.01
Media Factory,0.29
Media Rings,0.65
Media Works,0.18
MediaQuest,0.05
Men-A-Vision,0.77
Mentor Interactive,1.07
Mercury Games,0.21
Merscom LLC,0.2
Metro 3D,1.84
Michaelsoft,0.01
Micro Cabin,0.2
Microids,0.4
Microprose,2.02
Microsoft Game Studios,245.79
Midas Interactive Entertainment,2.72
Midway Games,69.85
Milestone,0.08
Milestone S.r.l,0.05
Milestone S.r.l.,1.28
Minato Station,0.05
Mindscape,7.74
Mirai Shounen,0.02
Misawa,0.07
Mitsui,0.08
"mixi, Inc",0.86
MLB.com,0.04
Mojang,2.89
Monte Christo Multimedia,0.05
Moss,0.13
MTO,0.4
MTV Games,20.97
Mud Duck Productions,0.85
Mumbo Jumbo,0.58
Mycom,0.02
Myelin Media,0.13
Mystique,0.82
N/A,14.88
Namco Bandai Games,254.09
Natsume,3.69
Navarre Corp,0.05
Naxat Soft,0.01
NCS,0.4
NCSoft,2.59
NDA Productions,0.12
NEC,0.43
NEC Interchannel,0.78
Neko Entertainment,0.31
NetRevo,0.03
New,0.36
New World Computing,0.01
NewKidCo,1.33
Nexon,0.03
Nichibutsu,0.28
Nihon Falcom Corporation,0.77
Nintendo,1786.56
Nippon Amuse,0.09
Nippon Columbia,0.95
Nippon Ichi Software,14.28
Nippon Telenet,0.26
Nitroplus,0.02
Nobilis,1.94
Nordcurrent,0.59
Nordic Games,4.44
NovaLogic,0.82
Number None,0.03
O3 Entertainment,0.22
Ocean,3.61
Office Create,0.06
O-Games,1.08
On Demand,0.21
Ongakukan,0.01
Origin Systems,0.09
Otomate,0.01
Oxygen Interactive,3.46
P2 Games,0.4
Pacific Century Cyber Works,0.26
Pack In Soft,0.48
Pack-In-Video,0.11
Palcom,4.17
Panther Software,0.17
Paon,0.25
Paon Corporation,0.03
Paradox Development,0.01
Paradox Interactive,0.76
Parker Bros.,4.97
Performance Designed Products,0.36
Phantagram,0.05
Phantom EFX,0.09
Phenomedia,0.19
Phoenix Games,0.02
Piacci,0.01
Pinnacle,1.42
Pioneer LDC,0.74
Play It,4.31
Playlogic Game Factory,1.2
Playmates,0.28
Playmore,0.04
PlayV,0.44
Plenty,0.02
PM Studios,0.1
Pony Canyon,0.05
PopCap Games,1.57
Popcorn Arcade,0.49
PopTop Software,0.11
Pow,0.05
PQube,4.27
Princess Soft,0.07
Prototype,0.61
Psygnosis,7.27
Quelle,0.87
Quest,0.71
Quinrose,0.22
Quintet,0.02
Rage Software,1.42
Rain Games,0.01
Rebellion,0.49
Rebellion Developments,0.3
RED Entertainment,0.02
Red Orb,5.24
Red Storm Entertainment,2.32
RedOctane,8.68
Reef Entertainment,0.34
responDESIGN,0.13
Revolution (Japan),0.02
Revolution Software,0.07
Rising Star Games,17.31
Riverhillsoft,0.04
Rocket Company,1.82
Rondomedia,2.58
RTL,2
Russel,1.21
Sammy Corporation,2.73
Saurus,0.02
Scholastic Inc.,2.91
SCi,3.52
Screenlife,0.92
SCS Software,0.13
Sears,0.21
Sega,272.99
Seta Corporation,0.63
Seventh Chord,0.08
Shogakukan,0.44
Simon & Schuster Interactive,0.11
Slightly Mad Studios,1.38
Slitherine Software,0.21
SNK,2.59
SNK Playmore,0.96
Societa,0.04
Sold Out,0.02
Sonnet,0.06
Sony Computer Entertainment,607.5
Sony Computer Entertainment America,1.18
Sony Computer Entertainment Europe,23.89
Sony Music Entertainment,0.14
Sony Online Entertainment,3.53
SouthPeak Games,6.35
Spike,6.15
SPS,0.12
Square,3.64
Square EA,0.8
Square Enix,145.18
SquareSoft,57.65
SSI,0.19
Stainless Games,0.01
Starfish,0.72
Starpath Corp.,0.33
Sting,0.65
Storm City Games,1.56
Strategy First,0.03
Success,1.96
Summitsoft,0.04
Sunflowers,0.03
Sunrise Interactive,0.17
Sunsoft,0.95
Sweets,0.05
Swing! Entertainment,0.48
Syscom,0.27
System 3,0.22
System 3 Arcade Software,1.8
System Soft,0.05
T&E Soft,0.12
Taito,2.84
Takara,3.45
Takara Tomy,2.7
Take-Two Interactive,399.54
Takuyo,0.01
TalonSoft,0.87
TDK Core,0.62
TDK Mediactive,8.31
Team17 Software,0.05
Technos Japan Corporation,0.02
TechnoSoft,0.05
Tecmo Koei,53.55
Telegames,1.03
Telltale Games,2.72
Telstar,0.27
Tetris Online,0.43
TGL,0.1
The Adventure Company,0.51
The Learning Company,0.05
THQ,340.77
Tigervision,1.42
Time Warner Interactive,0.35
Titus,3.32
Tivola,0.17
TOHO,0.11
Tommo,0.21
Tomy Corporation,4.97
TopWare Interactive,0.12
Touchstone,1.58
Tradewest,0.11
Trion Worlds,1.15
Tripwire Interactive,0.14
Tru Blu Entertainment,0.28
Tryfirst,0.03
TYO,0.42
Type-Moon,0.1
U.S. Gold,0.33
Ubisoft,474.72
Ubisoft Annecy,4.46
UEP Systems,2.25
UFO Interactive,0.96
UIG Entertainment,0.01
Ultravision,0.47
Universal Gamex,0.63
Universal Interactive,17.77
Unknown,34.66
Valcon Games,0.45
ValuSoft,0.39
Valve,1.74
Valve Software,3.23
Vap,0.05
Vatical Entertainment,0.22
Vic Tokai,0.27
Victor Interactive,0.89
Video System,2.18
Views,0.03
Vir2L Studios,0.26
Virgin Interactive,43.87
Virtual Play Games,0.06
Visco,0.02
Vivendi Games,58.21
Wanadoo,0.65
Warashi,0.02
Wargaming.net,0.29
Warner Bros. Interactive Entertainment,153.89
Warp,0.07
WayForward Technologies,0.05
Westwood Studios,1.55
White Park Bay Software,0.16
Wizard Video Games,0.62
Xicat Interactive,0.17
Xing Entertainment,0.24
Xplosiv,1.64
XS Games,1.46
Xseed Games,0.9
Yacht Club Games,0.32
Yamasa Entertainment,0.04
Yeti,0.24
Yuke's,0.08
Yumedia,0.06
Zenrin,0.06
Zoo Digital Publishing,12.87
Zoo Games,4.82
Zushi Games,1.89
Grand Total,8920.44
